Location ID,Suburb,Address,Post Code,GPS Lat,GPS Long,Job ID,Field Technician ID
377,Southport,15-17 Lloyd Street,4215,-27.9650112,153.4071536,M093432AU1-397-26985,5320
378,Southport,15-17 Lloyd Street,4215,-27.9650112,153.4071536,M093432AU1-399-26985,5467
379,Surfers Paradise,3070 Gold Coast Highway,4217,-28.0053479,153.4280348,M093478AU1-398-448,5241
380,Surfers Paradise,3070 Gold Coast Highway,4217,-28.0053479,153.4280348,M093478AU1-400-448,5258
381,Hollywell,323 Bayview Street,4216,-27.894729,153.3986312,M093513AU1-397-27578,29535
382,Hollywell,323 Bayview Street,4216,-27.894729,153.3986312,M093513AU1-398-27578,29535
383,Hollywell,323 Bayview Street,4216,-27.894729,153.3986312,M093513AU1-400-27578,29535
384,Southport,52-56 Queen Street,4215,-27.9730301,153.4143461,M093561AU1-399-27373,5467
385,Kingscliff,1-3 Murphys Road,2487,-28.2381432,153.5663176,M093605AU1-397-27658,1049
386,Kingscliff,1-3 Murphys Road,2487,-28.2381432,153.5663176,M093605AU1-399-27658,1049
387,Kingscliff,1-3 Murphys Road,2487,-28.2381432,153.5663176,M093605AU1-400-27658,1049
388,Tweed Heads,Keith Compton Drive,2485,-28.1838401,153.5466538,M093614AU1-398-10092,1049
389,Burleigh,Gold Coast Highway & Esplanade,4822,-20.7294558,143.1416956,M093637AU1-397-27654,5629
390,Runaway Bay,5 Canal Avenue,4216,-27.91938889,153.4055362,M093638AU1-400-25784,29535
391,Carrara,The Boulevard Emerald Lakes,4211,-28.0168966,153.3735431,M093645AU1-397-27581,5237
392,Carrara,The Boulevard Emerald Lakes,4211,-28.0168966,153.3735431,M093645AU1-398-27581,5237
393,Carrara,The Boulevard Emerald Lakes,4211,-28.0168966,153.3735431,M093645AU1-399-27581,5237
394,Carrara,The Boulevard Emerald Lakes,4211,-28.0168966,153.3735431,M093645AU1-400-27581,5237
395,Emerald Lakes,3030 The Boulevarde,4211,-28.0168966,153.3735431,M093645AU2-397-29828,5237
396,Emerald Lakes,3030 The Boulevarde,4211,-28.0168966,153.3735431,M093645AU2-398-29828,5237
397,Emerald Lakes,3030 The Boulevarde,4211,-28.0168966,153.3735431,M093645AU2-399-29828,5237
398,Emerald Lakes,3030 The Boulevarde,4211,-28.0168966,153.3735431,M093645AU2-400-29828,5237
399,Miami,1934-1946 Gold Coast Highway,4220,-28.07401217,153.4445001,M093648AU1-399-28357,5629
400,Kingscliff,Marine Parade. & Seaview Street,2487,-28.2736228,153.5079997,M093649AU1-397-27189,1049
401,Emerald Island,Lot 5037 Ellery Island Drive,4211,-27.9466238,153.3256128,M093650AU1-398-29003,5237
402,Palm Beach,20 Jefferson Lane,4221,-28.124199,153.475568,M093662AU1-398-26995,5629
403,Palm Beach,20 Jefferson Lane,4221,-28.124199,153.475568,M093662AU1-400-26995,1049
404,Tweed Heads,"22 William Street, Tweed Heads",2485,-28.1868997,153.5228386,M093668AU1-399-27712,1049
405,Labrador,11 Parker Street 93000019971,4215,-27.9391232,153.405887,M093697AU1-399-22753,29535
406,Sanctuary Cove,2104 The Circle,4212,-27.86139211,153.3788909,M093702AU1-398-26989,29535
407,Sanctuary Cove,2104 The Circle,4212,-27.86139211,153.3788909,M093702AU1-400-26989,29535
408,Surfers Paradise,70 Ferney Avenue and Cypress Avenue,4217,-28.0011707,153.4283167,M093747AU1-398-26924,5241
409,Surfers Paradise,70 Ferney Avenue and Cypress Avenue,4217,-28.0011707,153.4283167,M093747AU1-400-26924,5258
410,Coolangatta,110 Marine Parade,4225,-28.1678255,153.5415008,M093758AU1-398-27428,5629
411,Coolangatta,110 Marine Parade,4225,-28.1678255,153.5415008,M093758AU1-400-27428,5630
412,Varsity,Lot 12-1 Varsity Parade,4227,-28.0839143,153.4026871,M093777AU1-399-27729,5237
413,Tweed Heads,2 Hill Street,2485,-28.166515,153.549922,M093788AU1-398-27430,1049
414,Broadbeach,4 St Kilda Avenue,4218,-28.02128119,153.4306515,M093790AU1-399-29922,5629
415,Broadbeach,179 Old Burleigh Road,4218,-28.0325417,153.4345853,M093795AU1-398-392,5258
416,Coolangatta,110 Marine Parade,4225,-28.1678255,153.5415008,M093798AU1-397-27428,5629
417,Coolangatta,110 Marine Parade,4225,-28.1678255,153.5415008,M093798AU1-399-27428,5630
418,Carrara,Birmingham Road,4211,-27.9466238,153.3256128,M093801AU1-397-23874,5237
419,Surfers Paradise,30 Laycock Street,4217,-28.0048769,153.4291363,M093824AU1-400-29814,5258
420,Broadbeach,22-28 Surf Parade,4218,-28.0341303,153.4322494,M093833AU1-397-27732,5258
421,Broadbeach,22-28 Surf Parade,4218,-28.0341303,153.4322494,M093833AU1-400-27732,5629
422,Robina,60 Riverwalk Avenue,4226,-28.07765961,153.380584,M093838AU1-398-28502,5237
423,Robina,60 Riverwalk Avenue,4226,-28.07765961,153.380584,M093838AU1-399-28502,5237
424,Robina,60 Riverwalk Avenue,4226,-28.07765961,153.380584,M093838AU1-400-28502,5237
425,Tweed Heads,1 Powell Street,2485,-28.175188,153.544134,M093858AU1-398-28793,1049
426,Surfers Paradise,7 Mallana Street,4217,-28.0060971,153.4235354,M093874AU1-399-1890,5258
427,Hope Island,66 Sickle & Sheehan Avenues,4212,-27.8537757,153.360322,M093948AU1-397-26990,29535
428,Hope Island,66 Sickle & Sheehan Avenues,4212,-27.8537757,153.360322,M093948AU1-398-26990,29535
429,Hope Island,66 Sickle & Sheehan Avenues,4212,-27.8537757,153.360322,M093948AU1-400-26990,29535
430,Varsity Lakes,19 Lake Street,4227,-28.07713104,153.4144435,M094021AU1-398-28632,5237
431,Varsity Lakes,19 Lake Street,4227,-28.07713104,153.4144435,M094021AU1-400-28632,5237
432,Tugun,399 Golden Four Drive,4224,-28.14629687,153.4977892,M094057AU1-399-28482,1049
433,Robina,14 University Drive,4226,-28.0722791,153.4153916,M094061AU1-397-28599,5237
434,Robina,14 University Drive,4226,-28.0722791,153.4153916,M094061AU1-399-28599,5237
435,Nerang,34 Nerang Street,4211,-27.9899557,153.3376807,M094069AU1-400-29097,5467
436,Beaudesert,14  Brooklands Drive,4285,-27.99603588,153.0196955,M094089AU1-398-28501,29535
437,Emerald Lakes Carrara,The Boulevard,4211,-28.0168966,153.3735431,M094121AU1-400-28796,5237
